POS,Precision,Recall,F1,Support
DET,0.717391304347826,0.7252747252747253,0.7213114754098361,455
PROPN,0.7243047158403869,0.7182254196642686,0.7212522576760987,834
NOUN,0.7202152190622598,0.7098484848484848,0.7149942769935139,1320
CCONJ,0.6987179487179487,0.7171052631578947,0.7077922077922078,152
ADP,0.7048780487804878,0.6997578692493946,0.7023086269744836,413
PUNCT,0.6642335766423357,0.6946564885496184,0.6791044776119403,131
VERB,0.6774744027303754,0.6616666666666666,0.6694772344013491,600
AUX,0.6195652173913043,0.6440677966101694,0.631578947368421,177
ADJ,0.6171617161716172,0.6212624584717608,0.6192052980132451,301
X,0.631578947368421,0.6,0.6153846153846154,40
PART,0.6276595744680851,0.5959595959595959,0.6113989637305699,99
PRON,0.5686274509803921,0.5958904109589042,0.5819397993311036,146
NUM,0.5,0.6938775510204082,0.5811965811965812,98
SCONJ,0.5735294117647058,0.5571428571428572,0.5652173913043478,70
ADV,0.532608695652174,0.47572815533980584,0.5025641025641026,103
INTJ,0.5862068965517241,0.425,0.4927536231884058,40
SYM,0.38461538461538464,0.625,0.47619047619047616,8
