POS,Precision,Recall,F1,Support
NUM,0.847457627118644,0.8695652173913043,0.8583690987124464,460
SCONJ,0.8442622950819673,0.8728813559322034,0.8583333333333333,118
PROPN,0.843322818086225,0.8522848034006376,0.8477801268498943,941
AUX,0.8441247002398081,0.8301886792452831,0.8370986920332937,424
NOUN,0.8118313404657017,0.8154235145385588,0.8136234626300851,1582
ADP,0.8081321473951716,0.8122605363984674,0.8101910828025478,783
PUNCT,0.8145161290322581,0.7952755905511811,0.8047808764940239,127
PRON,0.8235294117647058,0.7850467289719626,0.8038277511961722,214
PART,0.8118811881188119,0.7884615384615384,0.8,104
CCONJ,0.7853658536585366,0.7777777777777778,0.7815533980582524,207
VERB,0.797077922077922,0.765990639625585,0.781225139220366,641
DET,0.7709750566893424,0.7798165137614679,0.7753705815279361,436
ADJ,0.7632093933463796,0.7753479125248509,0.7692307692307693,503
X,0.7777777777777778,0.6774193548387096,0.7241379310344828,31
ADV,0.6891891891891891,0.6496815286624203,0.6688524590163935,157
INTJ,0.631578947368421,0.5217391304347826,0.5714285714285714,23
SYM,0.28,0.875,0.42424242424242425,8
