POS,Precision,Recall,F1,Support
X,0.8376068376068376,0.9074074074074074,0.8711111111111111,108
PUNCT,0.8133333333333334,0.8299319727891157,0.8215488215488216,147
PROPN,0.7084639498432602,0.70625,0.7073552425665102,960
NUM,0.6517571884984026,0.7034482758620689,0.6766169154228856,290
DET,0.6536964980544747,0.6646884272997032,0.6591466405100539,1011
NOUN,0.654144305307096,0.6561004784688995,0.6551209316213795,1672
AUX,0.639269406392694,0.6496519721577726,0.6444188722669736,431
ADP,0.6447963800904978,0.6409295352323838,0.6428571428571429,1334
ADJ,0.6202020202020202,0.5869980879541109,0.6031434184675835,523
VERB,0.6078147612156295,0.584958217270195,0.596167494677076,718
INTJ,0.6875,0.5238095238095238,0.5945945945945946,21
CCONJ,0.582995951417004,0.5877551020408164,0.5853658536585366,245
SCONJ,0.5925925925925926,0.5161290322580645,0.5517241379310345,124
ADV,0.5376344086021505,0.5,0.5181347150259067,100
PRON,0.5289855072463768,0.4965986394557823,0.512280701754386,147
PART,0.47058823529411764,0.4897959183673469,0.48,98
SYM,0.029411764705882353,1.0,0.05714285714285714,1
